NROEMPRESA;SEQCOMPRADOR;DTAVDA;DOCTOS;VLR_VENDA;LUCRO;VERBA;CATEGORIA
13;15;2026-05-02;25;17,22;12,50;0,00;OUTROS
13;16;2026-05-02;309;6253,10;1095,10;0,00;LIMPEZA
13;18;2026-05-02;355;7412,65;1838,28;8,00;PERFUMARIA
13;1;2026-05-03;295;4636,90;1212,65;54,50;PAS
13;3;2026-05-03;592;8184,51;1680,73;260,60;SECA DOCE
13;4;2026-05-03;464;5811,23;1793,96;49,95;SECA SALG
13;5;2026-05-03;499;9071,48;2481,74;76,65;PADARIA
13;6;2026-05-03;626;35741,38;4393,63;0,00;AÇOUGUE
13;7;2026-05-03;623;9852,77;1541,55;161,20;LIQUIDA
13;8;2026-05-03;541;15138,98;802,88;288,33;COMMODITIES
13;9;2026-05-03;705;10579,40;2153,21;0,00;FLV
13;10;2026-05-03;100;1873,91;622,01;0,00;BAZAR
13;15;2026-05-03;9;0,09;0,00;0,00;OUTROS
13;16;2026-05-03;227;4944,76;812,30;0,00;LIMPEZA
13;18;2026-05-03;316;6642,99;1637,34;0,00;PERFUMARIA
14;1;2026-05-01;323;5613,97;1453,94;51,50;PAS
14;3;2026-05-01;533;10220,84;2005,93;353,00;SECA DOCE
14;4;2026-05-01;465;8885,27;2846,31;38,59;SECA SALG
14;5;2026-05-01;549;9785,90;2603,21;75,40;PADARIA
14;6;2026-05-01;642;50441,02;4085,03;0,00;AÇOUGUE
14;7;2026-05-01;656;15319,90;3226,05;1222,83;LIQUIDA
14;8;2026-05-01;511;15961,76;2055,70;1303,17;COMMODITIES
14;9;2026-05-01;785;15429,47;3146,83;0,00;FLV
14;10;2026-05-01;166;3842,16;1243,74;2,50;BAZAR
14;15;2026-05-01;1;11,00;8,09;0,00;OUTROS
14;16;2026-05-01;261;6796,05;1374,68;50,00;LIMPEZA
14;18;2026-05-01;282;7919,14;2041,19;19,50;PERFUMARIA
14;1;2026-05-02;262;4724,90;1155,69;75,10;PAS
14;3;2026-05-02;474;8895,66;1733,82;241,60;SECA DOCE
14;4;2026-05-02;365;6896,37;2130,17;49,61;SECA SALG
14;5;2026-05-02;509;8454,42;2228,82;208,31;PADARIA
14;6;2026-05-02;514;34033,16;3599,80;0,00;AÇOUGUE
14;7;2026-05-02;513;10739,13;2184,45;691,10;LIQUIDA
14;8;2026-05-02;444;13218,47;1173,12;607,83;COMMODITIES
14;9;2026-05-02;639;13202,32;2900,01;0,00;FLV
14;10;2026-05-02;119;2554,51;853,88;0,00;BAZAR
14;15;2026-05-02;1;15,00;11,03;0,00;OUTROS
14;16;2026-05-02;219;5509,88;959,79;20,00;LIMPEZA
14;18;2026-05-02;235;5728,88;1526,78;8,00;PERFUMARIA
